village_id,slug,name,country,lat,lng,date,pending,marker_type,portal_url
46,chkalove-dnipropetrovsk-dnipropetrovsk-ukraine,Chkalove (Dnipropetrovsk),Ukraine,47.411121,34.192429,2010,0,1,http://www.yahadmap.org/en/chkalove-dnipropetrovsk-dnipropetrovsk-ukraine/village-46
46,chkalove-dnipropetrovsk-dnipropetrovsk-ukraine,Chkalove (Dnipropetrovsk),Ukraine,47.409721,34.175941,2010,0,1,http://www.yahadmap.org/en/chkalove-dnipropetrovsk-dnipropetrovsk-ukraine/village-46
47,chortkiv-chortkov-czortkow-ternopil-ukraine,"Chortkiv (Chortkov, Czortkow)",Ukraine,49.000519,25.456791,,0,2,http://www.yahadmap.org/en/chortkiv-chortkov-czortkow-ternopil-ukraine/village-47
48,dashiv-dashev-daszow-vinnytsia-ukraine,"Dashiv (Dashev, Daszów)",Ukraine,49.011799,29.261700,,0,2,http://www.yahadmap.org/en/dashiv-dashev-daszow-vinnytsia-ukraine/village-48
,,Dimydivka (Odessa),Ukraine,47.462761,30.151011,2011,1,2,
50,demydivka-demidovka-demidowka-rivne-ukraine,"Demydivka (Demidovka, Demidowka)",Ukraine,50.257980,25.188919,,0,2,http://www.yahadmap.org/en/demydivka-demidovka-demidowka-rivne-ukraine/village-50
50,demydivka-demidovka-demidowka-rivne-ukraine,"Demydivka (Demidovka, Demidowka)",Ukraine,50.258839,25.205490,,0,1,http://www.yahadmap.org/en/demydivka-demidovka-demidowka-rivne-ukraine/village-50
50,demydivka-demidovka-demidowka-rivne-ukraine,"Demydivka (Demidovka, Demidowka)",Ukraine,50.258808,25.202829,,0,1,http://www.yahadmap.org/en/demydivka-demidovka-demidowka-rivne-ukraine/village-50
51,derazhne-derazhno-dera-ne-rivne-ukraine,"Derazhne (Derazhno, Derażne)",Ukraine,50.522591,26.051571,,0,2,http://www.yahadmap.org/en/derazhne-derazhno-dera-ne-rivne-ukraine/village-51
52,derazhnia-derazhnya-khmelnytskyi-ukraine,Derazhnia (Derazhnya),Ukraine,49.168171,27.266491,,0,2,http://www.yahadmap.org/en/derazhnia-derazhnya-khmelnytskyi-ukraine/village-52
53,dmytrivka-dmitrovka-zmunchylove-mykolaiv-ukraine,"Dmytrivka (Dmitrovka, Zmunchylove)",Ukraine,47.254539,31.281481,,0,2,http://www.yahadmap.org/en/dmytrivka-dmitrovka-zmunchylove-mykolaiv-ukraine/village-53
54,dmytrivka-odesa-odesa-ukraine,Dmytrivka (Odesa),Ukraine,45.502048,29.284491,,0,1,http://www.yahadmap.org/en/dmytrivka-odesa-odesa-ukraine/village-54
55,dobrushyne-dobrushino-former-jewish-colony-dobrushin-crimea-ukraine,Dobrushyne (Dobrushino)/Former Jewish colony Dobrushin,Ukraine,45.227039,33.222321,,0,1,http://www.yahadmap.org/en/dobrushyne-dobrushino-former-jewish-colony-dobrushin-crimea-ukraine/village-55
57,domanivka-domanevka-domanovca-mykolaiv-ukraine,"Domanivka (Domanevka, Domanovca)",Ukraine,47.374409,30.584021,,0,2,http://www.yahadmap.org/en/domanivka-domanevka-domanovca-mykolaiv-ukraine/village-57
57,domanivka-domanevka-domanovca-mykolaiv-ukraine,"Domanivka (Domanevka, Domanovca)",Ukraine,47.375370,30.587500,,0,2,http://www.yahadmap.org/en/domanivka-domanevka-domanovca-mykolaiv-ukraine/village-57
